node,eigenvector,betweenes,degree
jon snow,0.4953084428228781,0.00404040404040404,0.09090909090909091
mance rayder,0.4953084428228781,0.0,0.01818181818181818
mance,0.49530844282287806,0.0,0.03636363636363636
ser alliser,0.49530844282287795,0.0,0.01818181818181818
petyr,2.7755575615628907e-17,0.0,0.01818181818181818
ygritte,2.7755575615628907e-17,0.0,0.01818181818181818
theon greyjoy,2.4785253404868685e-17,0.0,0.01818181818181818
bronn,2.3135202863535556e-17,0.0,0.01818181818181818
bran stark,2.1239880238436417e-17,0.0,0.01818181818181818
robin,1.7302197695241805e-17,0.04579124579124579,0.05454545454545454
dorne,1.622086862613962e-17,0.0,0.01818181818181818
sally,1.4428309816913313e-17,0.0,0.01818181818181818
orson,1.3877787807814454e-17,0.0,0.01818181818181818
uncle,1.0777858776770026e-17,0.0,0.01818181818181818
sansa stark,1.0458415651125665e-17,0.08215488215488216,0.05454545454545454
ramsay bolton,9.842283222748418e-18,0.0,0.01818181818181818
moat cailin,9.566503543500041e-18,0.0,0.01818181818181818
meera,8.929693975510782e-18,0.0,0.01818181818181818
meereen,8.870181807870577e-18,0.0,0.01818181818181818
davos,7.522813442867703e-18,0.0,0.01818181818181818
cersei,6.8254682892022225e-18,0.0053872053872053875,0.03636363636363636
lannister,6.7218254124620534e-18,0.044444444444444446,0.03636363636363636
tyrion lannister,5.777653655789442e-18,0.1,0.10909090909090909
arya stark,2.511304108611978e-18,0.0,0.01818181818181818
reek,2.129508076617129e-18,0.0,0.01818181818181818
petyr baelish,1.8987152413239437e-18,0.0,0.01818181818181818
roose,4.645236407375374e-19,0.0,0.01818181818181818
lady anya,-0.0,0.0,0.01818181818181818
together,-0.0,0.0,0.01818181818181818
khuu,-0.0,0.0,0.01818181818181818
loras tyrell,-0.0,0.0,0.01818181818181818
oberyn,-4.570487952461221e-19,0.0,0.01818181818181818
yara greyjoy,-4.912592897613437e-19,0.0,0.01818181818181818
westeros,-6.592042589013832e-19,0.0,0.01818181818181818
jaime lannister,-1.7745984615128024e-18,0.021212121212121213,0.05454545454545454
baelish,-1.994147776644883e-18,0.01616161616161616,0.03636363636363636
olenna tyrell,-3.9055599900505555e-18,0.0,0.01818181818181818
kneel,-4.238414807475566e-18,0.0,0.01818181818181818
oberyn martell,-4.966786048723187e-18,0.03164983164983165,0.05454545454545454
margaery tyrell,-5.9899433406481685e-18,0.0,0.01818181818181818
joffrey,-6.838355722995068e-18,0.1548821548821549,0.14545454545454545
farmer hamlet,-7.375306407372877e-18,0.0,0.01818181818181818
hodor,-7.862807684728028e-18,0.0,0.01818181818181818
cersei lannister,-8.07042761799696e-18,0.01616161616161616,0.03636363636363636
luthor,-8.983834654780045e-18,0.0,0.01818181818181818
tywin lannister,-1.131160699931206e-17,0.01616161616161616,0.03636363636363636
catelyn stark,-1.1529004804725347e-17,0.0,0.01818181818181818
vale,-1.4926494460270424e-17,0.01616161616161616,0.03636363636363636
kingsguard,-1.778970227401078e-17,0.0,0.01818181818181818
lysa,-1.9037897331545656e-17,0.0,0.01818181818181818
joffrey lannister,-2.1468680001900955e-17,0.0006734006734006734,0.03636363636363636
elia martell,-2.7755575615628907e-17,0.0,0.01818181818181818
bran,-2.8377897367025065e-17,0.0,0.01818181818181818
daenerys targaryen,-3.0135189207400996e-17,0.0,0.01818181818181818
gilly,-0.09663898249025299,0.0,0.03636363636363636
sam,-0.09663898249025309,0.0,0.03636363636363636
