node,eigenvector,betweenes,degree
ned,0.707106780197797,0.1604104104104104,0.08108108108108109
dothraki,0.7071067775666792,0.26126126126126126,0.16216216216216217
robert,2.0315116249424672e-05,0.2187187187187187,0.13513513513513514
vale,1.3129110992826656e-09,0.04804804804804805,0.05405405405405406
snow,1.2549521193074108e-09,0.0,0.02702702702702703
jaime,5.849315805491326e-10,0.0,0.05405405405405406
lady,5.849204944975479e-10,0.0,0.02702702702702703
lannister,5.84899008931583e-10,0.0,0.02702702702702703
bronn,5.84895354371895e-10,0.0,0.02702702702702703
cersei,5.836845858562694e-10,0.04704704704704704,0.08108108108108109
alliser,3.609466177834789e-14,0.0,0.02702702702702703
lysa,2.0941581801992018e-14,0.0,0.02702702702702703
tyrion,1.6827899093081777e-14,0.23773773773773774,0.1891891891891892
varys,1.679365267331977e-14,0.0,0.05405405405405406
illyrio,9.149544881053277e-15,0.09309309309309309,0.05405405405405406
jorah,8.045250113071668e-15,0.0,0.02702702702702703
maester,-3.158131904219333e-15,0.0,0.02702702702702703
renly,-6.973588373426765e-15,0.0,0.02702702702702703
sansa,-7.593396068532174e-15,0.0,0.02702702702702703
petyr,-8.927064921851961e-15,0.0945945945945946,0.08108108108108109
grand,-1.051688905035659e-14,0.0,0.02702702702702703
catelyn,-2.4265216319692098e-14,0.1021021021021021,0.10810810810810811
daenerys,-2.4331026196884022e-14,0.0,0.02702702702702703
eddard,-2.6025934706347737e-14,0.24224224224224222,0.16216216216216217
viserys,-4.9944217917097444e-14,0.0,0.02702702702702703
qotho,-5.234701561107614e-14,0.0,0.02702702702702703
joffrey,-2.6395527234385257e-10,0.0,0.02702702702702703
hound,-3.104445160481394e-10,0.0,0.02702702702702703
gregor,-3.1046128203878514e-10,0.0,0.02702702702702703
bran,-8.443835494148557e-10,0.0,0.02702702702702703
walder,-8.444404342444757e-10,0.0,0.02702702702702703
grace,-9.05234500714923e-10,0.0,0.02702702702702703
baelish,-9.052444550260436e-10,0.0,0.02702702702702703
ser,-9.05322497654014e-10,0.0,0.02702702702702703
khal,-1.5028270838353307e-09,0.04804804804804805,0.05405405405405406
jon,-2.0601487074081545e-09,0.2992992992992993,0.13513513513513514
stark,-3.103080887673104e-05,0.22847847847847846,0.1891891891891892
sam,-7.170743575352836e-05,0.0,0.02702702702702703
