node,eigenvector,betweenes,degree
sam,0.6030226891555271,0.02564102564102564,0.1282051282051282
maester,0.42640143271122094,0.0,0.02564102564102564
jon,0.4264014327112209,0.04183535762483131,0.1282051282051282
gilly,0.4264014327112209,0.0,0.05128205128205128
mance,0.30151134457776363,0.0,0.05128205128205128
westeros,8.961223425598121e-17,0.0,0.02564102564102564
tyrion,8.450263843536863e-17,0.002699055330634278,0.05128205128205128
daenerys,6.44456764727723e-17,0.0,0.02564102564102564
queen,5.551115123125784e-17,0.0,0.02564102564102564
sparrow,5.551115123125784e-17,0.0,0.02564102564102564
bran,4.163336342344338e-17,0.0,0.02564102564102564
uncle,2.5845237926425866e-17,0.0,0.02564102564102564
ellaria,2.1932161469133756e-17,0.0,0.02564102564102564
robert,1.6568951891792025e-18,0.0,0.02564102564102564
daario,0.0,0.0,0.02564102564102564
barristan,-3.666617648988843e-19,0.0,0.02564102564102564
jorah,-1.6980421481574639e-18,0.002699055330634278,0.05128205128205128
jaime,-3.869845170117045e-18,0.0,0.02564102564102564
dorne,-5.9129126849448905e-18,0.043184885290148446,0.07692307692307693
ramsay,-6.93889390390723e-18,0.024291497975708502,0.05128205128205128
podrick,-7.74927304080188e-18,0.0,0.02564102564102564
stark,-8.05567988732901e-18,0.0,0.02564102564102564
brothers,-1.0495516364144482e-17,0.0,0.02564102564102564
jaqen,-1.2509399646472977e-17,0.0,0.02564102564102564
littlefinger,-1.4838929764295217e-17,0.0,0.02564102564102564
stannis,-1.747984494900407e-17,0.04588394062078272,0.10256410256410256
brienne,-2.397959897312015e-17,0.016194331983805668,0.05128205128205128
winterfell,-2.4187673214091853e-17,0.0,0.02564102564102564
oberyn,-3.876769496110232e-17,0.0,0.02564102564102564
bronn,-3.969277321629677e-17,0.016194331983805668,0.05128205128205128
margaery,-4.10689868706348e-17,0.0,0.02564102564102564
dornishman,-4.163336342344338e-17,0.0,0.02564102564102564
bystanders,-4.411771734712133e-17,0.0,0.02564102564102564
reek,-5.041540102057597e-17,0.013495276653171389,0.05128205128205128
petyr,-5.4926934406745387e-17,0.07692307692307691,0.10256410256410256
cersei,-5.546504543958216e-17,0.059379217273954114,0.07692307692307693
theon,-5.551115123125784e-17,0.0,0.02564102564102564
sansa,-5.798666985235952e-17,0.031039136302294195,0.07692307692307693
lady,-7.503394347788465e-17,0.029689608636977057,0.05128205128205128
bolton,-8.138620067524322e-17,0.032388663967611336,0.05128205128205128
