node,eigenvector,betweenes,degree
stark,0.8164984189239227,0.5258333333333334,0.625
sarsfield,0.4082464115990347,0.0,0.0625
tyrell,0.4082464115990248,0.0,0.0625
karstark,0.00018265903589774398,0.008333333333333333,0.125
lannister,0.00018265656768558147,0.35611111111111104,0.5625
tully,8.176251137248514e-08,0.0,0.0625
greyjoy,8.172483924227074e-08,0.05333333333333333,0.25
baelish,3.660041248858714e-11,0.012777777777777779,0.1875
frey,3.658224569783341e-11,0.15194444444444444,0.25
arryn,1.628894104658747e-14,0.025,0.1875
clegane,-6.842564640517804e-15,0.0,0.0625
crakehall,-1.3070307653407967e-14,0.0,0.125
baratheon,-1.6774208267772663e-14,0.016666666666666666,0.25
payne,-2.0062477595789017e-14,0.0,0.0625
reed,-2.0764974350237867e-14,0.0,0.0625
bolton,-3.769128320516056e-11,0.125,0.25
locke,-8.424125617564645e-08,0.0,0.0625
