node,eigenvector,betweenes,degree
jon,0.9999999932105198,0.0,0.029411764705882353
stark,6.079527537675645e-05,0.11319073083778966,0.08823529411764705
sam,3.287091885127367e-05,0.0035650623885918,0.058823529411764705
joffrey,7.184786575340308e-09,0.3505644682115269,0.1764705882352941
robert,2.8311932649688566e-09,0.0659536541889483,0.08823529411764705
volantis,2.5764754541714536e-09,0.0,0.029411764705882353
qarth,2.4651993916961306e-09,0.0,0.029411764705882353
jaime lannister,1.998503327302842e-09,0.035650623885918,0.058823529411764705
jon snow,1.080497381241333e-09,0.0035650623885918,0.058823529411764705
robb stark,1.6646183564022495e-13,0.1568627450980392,0.058823529411764705
arya stark,1.1512929048620825e-13,0.022281639928698752,0.08823529411764705
cersei lannister,1.0674107009515424e-13,0.0819964349376114,0.058823529411764705
man,9.212545084665966e-14,0.0,0.029411764705882353
talisa,8.46387525981777e-14,0.044563279857397504,0.058823529411764705
xaro,8.098700427171415e-14,0.0,0.029411764705882353
theon greyjoy,6.912953852927312e-14,0.0909090909090909,0.08823529411764705
matthos,6.564203375036467e-14,0.0196078431372549,0.058823529411764705
ygritte,3.55009175618199e-14,0.0,0.029411764705882353
all,-1.3308798507694064e-14,0.0,0.029411764705882353
sansa stark,-6.107728299472457e-14,0.0,0.029411764705882353
stannis baratheon,-7.939482404850651e-14,0.0,0.029411764705882353
varys,-8.630376477816619e-14,0.0,0.029411764705882353
renly,-1.0132532282883498e-13,0.0,0.029411764705882353
luwin,-1.4527823817569716e-13,0.0,0.029411764705882353
tyrion lannister,-1.7586578829109118e-13,0.3270944741532977,0.23529411764705882
halfman,-4.0513428722910305e-10,0.0,0.029411764705882353
hound,-1.8472908287914444e-09,0.006535947712418299,0.058823529411764705
cersei,-1.8473741875507338e-09,0.006535947712418299,0.058823529411764705
winterfell,-2.317833891523627e-09,0.044563279857397504,0.058823529411764705
brienne,-3.0842442961710023e-09,0.044563279857397504,0.058823529411764705
dorne,-5.352593292500035e-09,0.0,0.029411764705882353
bronn,-5.352790434686165e-09,0.0,0.029411764705882353
kingsguard,-5.352824568916665e-09,0.0,0.029411764705882353
ned stark,-5.875230514173639e-09,0.09001782531194295,0.08823529411764705
kingslayer,-9.382109187108125e-05,0.1265597147950089,0.08823529411764705
