,Release Date,Season,Episode,title,Name,text
0,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"royce: What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces."
1,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"will: I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
2,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce: How close did you get?
3,2011-04-17,Season 1,Episode 1,Winter is Coming,will,will: Close as any man would.
4,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared: We should head back to the wall.
5,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce: Do the dead frighten you?
6,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared: Our orders were to track the wildlings. We tracked them. They won't trouble us no more.
7,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce: You don't think he'll ask us how they died? Get back on your horse.
8,2011-04-17,Season 1,Episode 1,Winter is Coming,will,will: Whatever did it to them could do it to us. They even killed the children.
9,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"royce: It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again."
10,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce: Your dead men seem to have moved camp.
11,2011-04-17,Season 1,Episode 1,Winter is Coming,will,will: They were here.
12,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared: See where they went.
13,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce: What is it?
14,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared: It's …
15,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Go on. Father's watching.
16,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: And your mother.
17,2011-04-17,Season 1,Episode 1,Winter is Coming,mordane,"mordane: Fine work, as always. Well done."
18,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Thank you.
19,2011-04-17,Season 1,Episode 1,Winter is Coming,mordane,mordane: I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …
20,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
21,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,"snow: Don't think too much, Bran."
22,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Relax your bow arm.
23,2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"jonrobb: Quick, Bran, faster!"
24,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,cassel: Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.
25,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Get the lads to saddle their horses.
26,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Do you have to?
27,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: He swore an oath, Cat."
28,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"cassel: The law is law, my lady."
29,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Tell Bran he's coming, too."
30,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Ned. Ten is too young to see such things.
31,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: He won't be a boy forever. And winter is coming.
32,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Lad, go run back and get the rest."
33,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"will: White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
34,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"will: I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry."
35,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: nods yes, and WILL is positioned on the tree limb that serves as a block."
36,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"will: Forgive me, lord."
37,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: In the name of Robert of the House Baratheon, first of his name …"
38,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Don't look away.
39,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: King of the Andals and the First Men …
40,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Father will know if you do.
41,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
42,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: You did well.
43,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: You understand why I did it?
44,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Jon said he was a deserter.
45,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: But do you understand why I had to kill him?
46,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Our way is the old way?
47,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: The man who passes the sentence should swing the sword.
48,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Is it true he saw the White Walkers?
49,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: The White Walkers have been gone for thousands of years.
50,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: So he was lying?
51,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: A madman sees what he sees.
52,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: What is it?
53,2011-04-17,Season 1,Episode 1,Winter is Coming,greyjoy,greyjoy: Mountain lion?
54,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: There are no mountain lions in these woods.
55,2011-04-17,Season 1,Episode 1,Winter is Coming,greyjoy,greyjoy: It's a freak.
56,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: It's a direwolf.
57,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Tough old beast.
58,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: There are no direwolves south of the Wall.
59,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Now there are five.
60,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: You want to hold it?
61,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Where will they go? Their mother's dead.
62,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,cassel: They don't belong down here.
63,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Better a quick death. They won't last without their mother.
64,2011-04-17,Season 1,Episode 1,Winter is Coming,greyjoy,greyjoy: Right. Give it here.
65,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: NO!
66,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Put away your blade.
67,2011-04-17,Season 1,Episode 1,Winter is Coming,greyjoy,"greyjoy: I take orders from your father, not you."
68,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Please, father!"
69,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: I'm sorry, Bran."
70,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
71,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
72,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: What about you?
73,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: I'm not a Stark. Get on.
74,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: What is it?
75,2011-04-17,Season 1,Episode 1,Winter is Coming,greyjoy,"greyjoy: The runt of the litter. That one's yours, Snow."
76,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: As your brother, I feel it's my duty to warn you"
77,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
78,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools."
79,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: What if Jon Arryn told someone?
80,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: But who would he tell?
81,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: My husband.
82,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on."
83,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,lannister: You should be the Hand of the king.
84,2011-04-17,Season 1,Episode 1,Winter is Coming,lannister,"lannister: That's an honor I can do without. Their days are too long, their lives are too short."
85,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: All these years and I still feel like an outsider when I come here.
86,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: You have five northern children. You're not an outsider.
87,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: I wonder if the old gods agree.
88,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: It's your gods with all the rules.
89,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: I am so sorry, my love."
90,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Tell me.
91,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
92,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: Your sister. The boy …
93,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
94,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: He's coming this far North, there's only one thing he's after."
95,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: You can always say no, Ned."
96,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.
97,2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,luwin: I'm told he drinks all night.
98,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: How much could he possibly drink? A man of his … stature.
99,2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,luwin: We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.
100,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: In any case, candles."
101,2011-04-17,Season 1,Episode 1,Winter is Coming,snow,snow: Why's your mother so dead-set on us getting pretty for the king?
102,2011-04-17,Season 1,Episode 1,Winter is Coming,greyjoy,"greyjoy: It's for the queen, I bet. I hear she's [sleek as a mink?]"
103,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: I hear the prince is a right royal prick.
104,2011-04-17,Season 1,Episode 1,Winter is Coming,greyjoy,greyjoy: Think of all those southern girls he gets to stab with his right royal prick.
105,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair."
106,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,"stark: Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!"
107,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: I saw the king! He's got hundreds of people!
108,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: How many times have I told you
109,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: But he's coming right now! Down our road!
110,2011-04-17,Season 1,Episode 1,Winter is Coming,stark,stark: I want you to promise me
