node,eigenvector,betweenes,degree
sam,0.7071067811865476,0.0,0.05263157894736842
jon,0.7071067811865475,0.001422475106685633,0.07894736842105263
stark,1.4260649285809824e-16,0.038406827880512105,0.07894736842105263
jaime,1.3012853789168004e-16,0.00948316737790422,0.07894736842105263
ser,1.2839569486954633e-16,0.0,0.02631578947368421
uncle,1.1603533753648751e-16,0.0,0.02631578947368421
halfman,1.1102230246251568e-16,0.0,0.02631578947368421
mance,8.326672684688677e-17,0.0,0.02631578947368421
volantis,3.7931465907953346e-17,0.0,0.02631578947368421
all,2.775557561562892e-17,0.0,0.02631578947368421
matthos,9.724586707831687e-18,0.03271692745376956,0.07894736842105263
qhorin,7.564441555268324e-18,0.0,0.02631578947368421
catelyn,3.685877589464581e-18,0.0,0.02631578947368421
luwin,3.469446951953615e-18,0.0,0.02631578947368421
man,0.0,0.0,0.02631578947368421
varys,-8.606509268369241e-19,0.0,0.02631578947368421
arya,-2.0347568283091802e-18,0.008297771455666193,0.07894736842105263
robb,-2.574469502083616e-18,0.10099573257467995,0.05263157894736842
talisa,-4.8343235771976415e-18,0.03982930298719772,0.05263157894736842
ygritte,-6.93889390390723e-18,0.0,0.02631578947368421
winterfell,-1.387778780781446e-17,0.03982930298719772,0.05263157894736842
theon,-1.5613201328811576e-17,0.07776197249881461,0.07894736842105263
tyrion,-2.2614936296947052e-17,0.2373162636320531,0.23684210526315788
stannis,-3.48535311578545e-17,0.08677098150782361,0.05263157894736842
xaro,-4.064590347853448e-17,0.0,0.02631578947368421
renly,-4.7359349074785647e-17,0.017069701280227598,0.05263157894736842
joffrey,-8.517416858246127e-17,0.2636320531057373,0.23684210526315788
kingsguard,-9.877546025050504e-17,0.0,0.02631578947368421
qarth,-1.1312625753250579e-16,0.0,0.02631578947368421
dorne,-1.237584280611543e-16,0.0,0.02631578947368421
hound,-1.2424100518112682e-16,0.0023707918444760556,0.05263157894736842
bronn,-1.2494641923407014e-16,0.0,0.02631578947368421
cersei,-1.3973540927528174e-16,0.08700806069227122,0.15789473684210525
brienne,-1.881220619998791e-16,0.02418207681365576,0.05263157894736842
ned,-1.8861156462707366e-16,0.11379800853485067,0.13157894736842105
lady,-2.4779191381551394e-16,0.06970128022759602,0.07894736842105263
sansa,-2.4979270168821087e-16,0.0,0.05263157894736842
kingslayer,-2.5727598823932083e-16,0.08392603129445235,0.07894736842105263
robert,-4.2674183355516375e-16,0.1164058795637743,0.10526315789473684
