node,eigenvector,betweenes,degree
sam,0.5773502691896261,0.028571428571428574,0.11428571428571428
gilly,0.5773502691896257,0.0,0.05714285714285714
jon,0.5773502691896256,0.0,0.02857142857142857
bolton,9.95757402064406e-17,0.03529411764705882,0.05714285714285714
jon snow,6.848561469033283e-17,0.04537815126050421,0.08571428571428572
littlefinger,6.422268084371637e-17,0.0,0.02857142857142857
reek,5.3585495121531637e-17,0.015126050420168069,0.05714285714285714
tyrion lannister,3.3632744401053305e-17,0.0,0.02857142857142857
mance rayder,3.3051658892298094e-17,0.0,0.02857142857142857
ramsay bolton,3.233679241561154e-17,0.02689075630252101,0.05714285714285714
queen margaery,3.122502256758253e-17,0.0,0.02857142857142857
lady sansa,2.97694166978165e-17,0.0,0.02857142857142857
westeros,2.7196481761272e-17,0.0,0.02857142857142857
jaime lannister,1.5848370824864423e-17,0.0,0.02857142857142857
sparrow,1.4338136201202216e-17,0.0,0.02857142857142857
oberyn,1.311766793673888e-17,0.0,0.02857142857142857
jaqen hghar,2.6349552499210285e-18,0.0,0.02857142857142857
brothers,2.2907778253882287e-18,0.0,0.02857142857142857
margaery,6.735602051808235e-19,0.0,0.02857142857142857
theon greyjoy,0.0,0.0,0.02857142857142857
bran,0.0,0.0,0.02857142857142857
stannis baratheon,-2.315345705705136e-19,0.04873949579831933,0.08571428571428572
ellaria,-1.0704620165329483e-18,0.0,0.02857142857142857
cersei lannister,-1.202865887917838e-18,0.0,0.02857142857142857
brienne,-1.4701681975685747e-18,0.0016806722689075631,0.05714285714285714
sansa stark,-1.734723475976807e-18,0.0,0.02857142857142857
bystanders,-3.0122388605413923e-18,0.0,0.02857142857142857
daenerys targaryen,-4.05807250922057e-18,0.0,0.02857142857142857
barristan,-4.1353809124699e-18,0.0,0.02857142857142857
stark,-1.2035584443422461e-17,0.0,0.02857142857142857
petyr baelish,-1.4915081983622697e-17,0.0016806722689075631,0.05714285714285714
bronn,-1.6041316081396988e-17,0.005042016806722689,0.05714285714285714
dornishman,-2.5120636071741454e-17,0.0,0.02857142857142857
dorne,-2.721562891294059e-17,0.008403361344537816,0.08571428571428572
winterfell,-3.6105913208524364e-17,0.0,0.02857142857142857
cersei,-5.541078902720761e-17,0.0,0.02857142857142857
